UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF
2541,M00771,M,299.4,309.2,1619,32.4,186,0,0,0,0,0,0
2542,M00772,M,298.9,310.7,1563,25.1,189,0,0,0,0,0,0
2543,H00517,H,299.8,310.5,1500,35.9,194,0,0,0,0,0,0
2544,M00773,M,298.8,307.5,1588,44.1,197,0,0,0,0,0,0
2545,L01255,L,301.0,309.7,1508,42.9,199,0,0,0,0,0,0
2546,L01256,L,300.4,310.5,1628,39.3,201,0,0,0,0,0,0
2547,L01257,L,301.5,310.2,1581,36.4,203,0,0,0,0,0,0
2548,L01258,L,297.9,305.9,1532,34.6,205,0,0,0,0,0,0
2549,L01259,L,299.3,309.9,1461,37.6,207,0,0,0,0,0,0
2550,L01260,L,299.5,309.9,1650,33.9,209,0,0,0,0,0,0
2551,L01261,L,300.9,311.4,1594,37.6,211,0,0,0,0,0,0
2552,L01262,L,298.4,308.7,1748,48.0,213,0,0,0,0,0,0
2553,H00518,H,301.8,311.8,1591,35.4,218,0,0,0,0,0,0
2554,H00519,H,302.4,311.7,1599,43.7,223,0,0,0,0,0,0
2555,L01263,L,298.0,308.5,1391,44.6,225,0,0,0,0,0,0
2556,H00520,H,299.0,310.5,1569,33.5,230,0,0,0,0,0,0
2557,M00774,M,298.9,308.4,1506,34.9,233,0,0,0,0,0,0
2558,L01264,L,305.3,314.2,1621,46.4,2,0,0,0,0,0,0
2559,L01265,L,299.1,308.0,1571,34.4,4,0,0,0,0,0,0
2560,M00775,M,303.4,312.5,1637,39.7,7,0,0,0,0,0,0
2561,M00776,M,297.5,307.7,1751,52.2,10,1,0,0,1,0,0
2562,M00777,M,298.0,305.9,1458,45.9,13,0,0,0,0,0,0
2563,L01266,L,298.6,309.1,1633,40.5,15,0,0,0,0,0,0
2564,L01267,L,298.3,309.0,1606,45.0,17,0,0,0,0,0,0
2565,L01268,L,299.5,307.7,1736,39.7,19,0,0,0,0,0,0
2566,L01269,L,298.6,307.6,1609,46.1,21,0,0,0,0,0,0
2567,L01270,L,298.4,308.4,1598,27.7,23,0,0,0,0,0,0
2568,L01271,L,302.3,312.2,1623,39.2,25,0,0,0,0,0,0
2569,H00521,H,302.4,313.0,1630,27.5,30,0,0,0,0,0,0
2570,H00522,H,301.9,311.8,1683,41.0,35,0,0,0,0,0,0
2571,L01272,L,301.0,312.3,1456,38.6,37,0,0,0,0,0,0
2572,H00523,H,300.2,309.9,1499,48.2,42,0,0,0,0,0,0
2573,L01273,L,299.0,308.0,1712,44.3,44,0,0,0,0,0,0
2574,L01274,L,298.1,307.0,1342,36.8,46,0,0,0,0,0,0
2575,L01275,L,300.7,311.5,1530,37.6,48,0,0,0,0,0,0
2576,M00778,M,297.7,307.7,1553,42.3,51,0,0,0,0,0,0
2577,H00524,H,298.0,308.6,1520,36.6,56,0,0,0,0,0,0
2578,M00779,M,302.3,312.9,1696,39.8,59,0,0,0,0,0,0
2579,L01276,L,303.8,311.8,1586,47.9,61,0,0,0,0,0,0
2580,M00780,M,300.8,309.6,1499,35.0,64,0,0,0,0,0,0
2581,L01277,L,302.2,311.2,1475,37.3,66,0,0,0,0,0,0
2582,H00525,H,299.5,308.7,1566,38.2,71,0,0,0,0,0,0
2583,M00781,M,297.3,306.9,1655,58.9,74,1,0,0,1,0,0
2584,L01278,L,301.2,312.2,1552,43.6,76,0,0,0,0,0,0
2585,M00782,M,301.1,312.3,1525,46.8,79,0,0,0,0,0,0
2586,M00783,M,300.1,309.9,1468,44.6,82,0,0,0,0,0,0
2587,L01279,L,299.5,309.3,1575,45.0,84,0,0,0,0,0,0
2588,M00784,M,301.9,311.2,1570,42.8,87,0,0,0,0,0,0
2589,L01280,L,298.0,308.1,1466,42.2,89,0,0,0,0,0,0
2590,M00785,M,298.5,308.7,1641,31.3,92,0,0,0,0,0,0
2591,H00526,H,298.0,308.8,1709,42.1,97,0,0,0,0,0,0
2592,H00527,H,300.2,311.0,1543,39.3,102,0,0,0,0,0,0
2593,M00786,M,297.8,305.5,1568,43.3,105,0,0,0,0,0,0
2594,M00787,M,298.6,308.5,1428,39.6,108,0,0,0,0,0,0
2595,L01281,L,298.6,310.0,1612,44.6,110,0,0,0,0,0,0
2596,M00788,M,299.5,309.0,1584,45.6,113,0,0,0,0,0,0
2597,L01282,L,297.0,308.2,1505,22.5,115,0,0,0,0,0,0
2598,L01283,L,300.2,309.9,1464,37.4,117,0,0,0,0,0,0
2599,L01284,L,302.5,312.7,1723,28.9,119,0,0,0,0,0,0
2600,L01285,L,300.3,309.1,1576,41.4,121,0,0,0,0,0,0
2601,M00789,M,303.1,312.0,1446,38.2,124,0,0,0,0,0,0
2602,L01286,L,302.7,313.4,1624,48.1,126,0,0,0,0,0,0
2603,M00790,M,301.6,312.4,1561,41.2,129,0,0,0,0,0,0
2604,L01287,L,300.1,310.2,1544,37.1,131,0,0,0,0,0,0
2605,L01288,L,300.0,308.8,1636,45.6,133,0,0,0,0,0,0
2606,M00791,M,301.5,311.6,1277,38.1,136,0,0,0,0,0,0
2607,L01289,L,299.2,310.5,1357,37.0,138,0,0,0,0,0,0
2608,L01290,L,296.2,308.0,1676,42.4,140,0,0,0,0,0,0
2609,M00792,M,301.0,310.7,1525,49.7,143,0,0,0,0,0,0
2610,L01291,L,297.7,306.1,1495,45.1,145,0,0,0,0,0,0
2611,H00528,H,298.1,308.9,1404,43.4,150,0,0,0,0,0,0
2612,L01292,L,300.0,309.7,1557,56.5,152,1,0,0,1,0,0
2613,L01293,L,299.8,310.8,1570,35.6,154,0,0,0,0,0,0
2614,M00793,M,297.2,307.5,1682,35.5,157,0,0,0,0,0,0
2615,L01294,L,300.3,309.4,1575,40.9,159,0,0,0,0,0,0
2616,L01295,L,301.9,312.0,1508,49.1,161,0,0,0,0,0,0
2617,L01296,L,297.7,309.1,1579,34.3,163,0,0,0,0,0,0
2618,L01297,L,302.5,312.4,1649,50.5,165,0,0,0,0,0,0
2619,H00529,H,296.9,305.8,1627,31.4,170,0,0,0,0,0,0
2620,L01298,L,304.2,312.6,1600,39.3,172,0,0,0,0,0,0
2621,M00794,M,299.2,308.4,1565,41.0,175,0,0,0,0,0,0
2622,H00530,H,300.3,309.9,1480,34.7,180,0,0,0,0,0,0
2623,L01299,L,296.2,307.0,1435,36.3,182,0,0,0,0,0,0
2624,H00531,H,299.9,308.8,1419,44.8,187,0,0,0,0,0,0
2625,L01300,L,300.5,312.0,1577,48.6,189,0,0,0,0,0,0
2626,H00532,H,299.8,308.5,1588,27.3,194,0,0,0,0,0,0
2627,L01301,L,298.9,311.2,1647,41.1,196,0,0,0,0,0,0
2628,M00795,M,298.1,309.8,1594,39.3,199,0,0,0,0,0,0
2629,L01302,L,302.3,312.4,1643,40.6,201,0,0,0,0,0,0
2630,L01303,L,300.1,308.4,1525,38.1,203,0,0,0,0,0,0
2631,M00796,M,303.1,313.0,1615,32.3,206,0,0,0,0,0,0
2632,M00797,M,298.9,308.6,1438,49.3,209,0,0,0,0,0,0
2633,L01304,L,299.1,307.9,1532,47.0,211,0,0,0,0,0,0
2634,L01305,L,301.6,311.9,1355,39.4,213,0,0,0,0,0,0
2635,M00798,M,296.8,305.9,1541,37.1,216,0,0,0,0,0,0
2636,M00799,M,297.6,306.9,1660,36.3,219,0,0,0,0,0,0
2637,H00533,H,302.2,312.0,1545,24.5,224,0,0,0,0,0,0
2638,M00800,M,297.7,307.1,1610,42.1,3,0,0,0,0,0,0
2639,H00534,H,296.4,308.4,1565,44.7,8,0,0,0,0,0,0
2640,M00801,M,303.7,313.2,1481,40.8,11,0,0,0,0,0,0
2641,L01306,L,297.2,307.7,1519,39.5,13,0,0,0,0,0,0
2642,L01307,L,300.4,310.5,1656,40.8,15,0,0,0,0,0,0
2643,M00802,M,300.1,310.5,1610,34.9,18,0,0,0,0,0,0
2644,M00803,M,294.4,304.8,1476,37.0,21,0,0,0,0,0,0
2645,L01308,L,299.5,310.3,1399,39.0,23,0,0,0,0,0,0
2646,L01309,L,300.9,311.2,1559,44.2,25,0,0,0,0,0,0
2647,H00535,H,300.7,310.9,1480,48.3,30,0,0,0,0,0,0
2648,M00804,M,301.8,311.9,1520,38.6,33,0,0,0,0,0,0
2649,L01310,L,299.2,309.1,1393,33.7,35,0,0,0,0,0,0
2650,L01311,L,301.4,310.5,1642,40.2,37,0,0,0,0,0,0
2651,L01312,L,298.6,308.6,1528,52.1,39,0,0,0,0,0,0
2652,L01313,L,297.2,307.4,1543,34.3,41,0,0,0,0,0,0
2653,L01314,L,297.4,307.8,1455,45.3,43,0,0,0,0,0,0
2654,L01315,L,297.1,307.3,1510,48.0,45,0,0,0,0,0,0
2655,M00805,M,302.0,311.8,1550,37.8,48,0,0,0,0,0,0
2656,L01316,L,297.0,306.9,1477,35.8,50,0,0,0,0,0,0
2657,H00536,H,300.5,310.0,1516,43.4,55,0,0,0,0,0,0
2658,H00537,H,299.5,309.8,1677,42.1,60,0,0,0,0,0,0
2659,L01317,L,299.8,309.6,1363,44.2,62,0,0,0,0,0,0
2660,M00806,M,302.7,312.9,1556,52.4,65,0,0,0,0,0,0
2661,L01318,L,299.1,310.1,1459,41.0,67,0,0,0,0,0,0
2662,H00538,H,301.2,310.5,1672,32.8,72,0,0,0,0,0,0
2663,L01319,L,300.1,310.7,1520,40.4,74,0,0,0,0,0,0
2664,M00807,M,299.7,309.7,1433,41.4,77,0,0,0,0,0,0
2665,M00808,M,304.6,316.6,1516,47.6,80,0,0,0,0,0,0
2666,L01320,L,297.1,306.9,1573,38.8,82,0,0,0,0,0,0
2667,L01321,L,302.6,313.3,1816,37.5,84,0,0,0,0,0,0
2668,M00809,M,301.3,311.3,1327,31.8,87,0,0,0,0,0,0
2669,M00810,M,299.0,307.7,1418,43.3,90,0,0,0,0,0,0
2670,L01322,L,303.3,312.7,1669,60.1,92,1,0,0,1,0,0
2671,M00811,M,296.3,307.2,1387,38.7,95,0,0,0,0,0,0
2672,L01323,L,299.0,308.5,1539,42.7,97,0,0,0,0,0,0
2673,M00812,M,297.6,305.4,1490,36.7,100,0,0,0,0,0,0
2674,L01324,L,300.8,310.8,1474,32.3,102,0,0,0,0,0,0
2675,H00539,H,297.8,306.7,1521,42.6,107,0,0,0,0,0,0
2676,L01325,L,300.9,311.0,1505,40.2,109,0,0,0,0,0,0
2677,L01326,L,299.6,311.2,1644,25.7,111,0,0,0,0,0,0
2678,L01327,L,299.0,309.8,1671,49.7,113,0,0,0,0,0,0
2679,L01328,L,300.8,312.3,1581,42.5,115,0,0,0,0,0,0
2680,M00813,M,299.5,308.9,1514,40.4,118,0,0,0,0,0,0
2681,L01329,L,297.8,307.7,1564,37.5,120,0,0,0,0,0,0
2682,H00540,H,305.6,314.6,1619,42.4,125,0,0,0,0,0,0
2683,L01330,L,299.0,308.3,1638,42.7,127,0,0,0,0,0,0
2684,L01331,L,295.6,304.6,1575,42.4,129,0,0,0,0,0,0
2685,L01332,L,298.3,307.0,1691,46.4,131,0,0,0,0,0,0
2686,L01333,L,297.5,308.8,1476,47.8,133,0,0,0,0,0,0
2687,L01334,L,301.7,309.6,1652,52.0,135,1,0,0,1,0,0
2688,L01335,L,300.6,312.0,1608,35.0,137,0,0,0,0,0,0
2689,L01336,L,300.8,312.0,1477,36.6,139,0,0,0,0,0,0
2690,L01337,L,299.3,309.8,1561,42.2,141,0,0,0,0,0,0
2691,M00814,M,299.4,308.3,1568,35.3,144,0,0,0,0,0,0
2692,M00815,M,299.3,307.7,1524,36.3,147,0,0,0,0,0,0
2693,L01338,L,299.8,309.3,1523,42.9,149,0,0,0,0,0,0
2694,L01339,L,301.7,312.3,1386,45.4,151,0,0,0,0,0,0
2695,H00541,H,300.7,310.7,1469,47.7,156,0,0,0,0,0,0
2696,M00816,M,301.0,310.0,1514,38.8,159,0,0,0,0,0,0
2697,M00817,M,301.0,312.1,1481,42.8,162,0,0,0,0,0,0
2698,L01340,L,301.8,313.5,1452,41.5,164,0,0,0,0,0,0
2699,M00818,M,300.6,310.3,1644,40.1,167,0,0,0,0,0,0
2700,M00819,M,300.7,310.8,1528,35.1,170,0,0,0,0,0,0
2701,M00820,M,302.4,310.9,1755,34.3,173,0,0,0,0,0,0
2702,H00542,H,298.7,308.3,1560,44.0,178,0,0,0,0,0,0
2703,L01341,L,298.3,308.8,1642,35.0,180,0,0,0,0,0,0
2704,L01342,L,297.6,308.0,1517,29.3,182,0,0,0,0,0,0
2705,M00821,M,300.4,309.9,1472,39.8,185,0,0,0,0,0,0
2706,H00543,H,296.3,306.0,1564,48.7,190,0,0,0,0,0,0
2707,L01343,L,300.9,310.5,1668,23.2,192,0,0,0,0,0,0
2708,L01344,L,299.8,309.5,1529,38.3,194,0,0,0,0,0,0
2709,L01345,L,302.3,312.7,1583,44.1,196,0,0,0,0,0,0
2710,L01346,L,298.7,306.7,1564,29.1,198,0,0,0,0,0,0
2711,M00822,M,299.6,309.5,1528,38.7,201,0,0,0,0,0,0
2712,M00823,M,302.2,312.6,1533,33.2,204,0,0,0,0,0,0
2713,L01347,L,302.8,312.2,1438,34.0,206,0,0,0,0,0,0
2714,L01348,L,298.6,308.2,1537,37.6,208,0,0,0,0,0,0
2715,L01349,L,300.4,309.9,1603,33.3,2,0,0,0,0,0,0
2716,L01350,L,300.6,310.1,1568,32.8,4,0,0,0,0,0,0
2717,M00824,M,300.7,310.8,1556,39.6,7,0,0,0,0,0,0
2718,H00544,H,299.5,309.6,1611,53.4,12,1,0,0,1,0,0
2719,H00545,H,302.6,310.5,1557,44.5,17,0,0,0,0,0,0
2720,L01351,L,296.2,306.9,1539,46.1,19,0,0,0,0,0,0
2721,H00546,H,299.2,308.9,1612,44.8,24,0,0,0,0,0,0
2722,M00825,M,300.9,312.8,1552,35.8,27,0,0,0,0,0,0
2723,M00826,M,300.9,309.7,1514,41.9,30,0,0,0,0,0,0
2724,L01352,L,302.7,311.8,1585,46.6,32,0,0,0,0,0,0
2725,L01353,L,302.4,312.2,1534,45.0,34,0,0,0,0,0,0
2726,L01354,L,299.4,309.8,1510,41.2,36,0,0,0,0,0,0
2727,L01355,L,302.6,310.6,1554,43.1,38,0,0,0,0,0,0
2728,L01356,L,298.6,307.7,1555,54.8,40,0,0,0,0,0,0
2729,L01357,L,301.9,312.5,1428,45.0,42,0,0,0,0,0,0
2730,L01358,L,303.6,312.7,1571,38.1,44,0,0,0,0,0,0
2731,M00827,M,302.4,313.8,1723,39.6,47,0,0,0,0,0,0
2732,L01359,L,300.2,309.8,1440,33.7,49,0,0,0,0,0,0
2733,L01360,L,299.3,308.4,1488,54.1,51,0,0,0,0,0,0
2734,H00547,H,296.9,307.6,1816,49.6,56,1,0,0,1,0,0
2735,H00548,H,300.6,312.2,1456,40.5,61,0,0,0,0,0,0
2736,M00828,M,297.8,308.2,1667,53.1,64,1,0,0,1,0,0
2737,H00549,H,298.4,309.7,1515,43.8,69,0,0,0,0,0,0
2738,M00829,M,297.6,309.3,1544,37.4,72,0,0,0,0,0,0
2739,H00550,H,299.1,308.2,1525,45.4,77,0,0,0,0,0,0
2740,L01361,L,299.9,310.9,1581,42.4,79,0,0,0,0,0,0
2741,L01362,L,300.5,309.0,1380,45.0,81,0,0,0,0,0,0
2742,L01363,L,298.8,309.2,1557,31.8,83,0,0,0,0,0,0
2743,L01364,L,302.1,312.1,1498,35.1,85,0,0,0,0,0,0
2744,L01365,L,299.6,310.8,1352,48.9,87,0,0,0,0,0,0
2745,M00830,M,298.4,309.6,1650,50.2,90,0,0,0,0,0,0
2746,M00831,M,300.5,311.0,1327,48.5,93,0,0,0,0,0,0
2747,M00832,M,303.9,314.2,1753,53.3,96,1,0,0,1,0,0
2748,L01366,L,300.7,311.2,1600,43.5,98,0,0,0,0,0,0
2749,H00551,H,299.3,309.3,1402,43.0,103,0,0,0,0,0,0
2750,M00833,M,296.9,306.9,1672,34.5,106,0,0,0,0,0,0
2751,L01367,L,299.6,311.0,1463,36.5,108,0,0,0,0,0,0
2752,M00834,M,300.5,312.0,1468,28.1,111,0,0,0,0,0,0
2753,L01368,L,299.2,309.1,1358,38.1,113,0,0,0,0,0,0
2754,L01369,L,296.7,306.9,1452,27.6,115,0,0,0,0,0,0
2755,H00552,H,298.3,308.4,1463,46.5,120,0,0,0,0,0,0
2756,L01370,L,302.9,311.3,1620,42.3,122,0,0,0,0,0,0
2757,L01371,L,302.9,312.5,1655,27.8,124,0,0,0,0,0,0
2758,H00553,H,298.2,309.8,1414,38.9,129,0,0,0,0,0,0
2759,M00835,M,301.3,310.6,1565,51.8,132,0,0,0,0,0,0
2760,L01372,L,297.6,309.8,1354,39.2,134,0,0,0,0,0,0
2761,L01373,L,302.8,314.0,1565,34.0,136,0,0,0,0,0,0
2762,L01374,L,300.5,310.9,1754,29.3,138,0,0,0,0,0,0
2763,M00836,M,301.9,312.5,1360,29.5,141,0,0,0,0,0,0
2764,L01375,L,296.6,305.7,1437,43.2,143,0,0,0,0,0,0
2765,L01376,L,301.4,311.1,1611,37.4,145,0,0,0,0,0,0
2766,H00554,H,300.0,311.4,1623,37.9,150,0,0,0,0,0,0
2767,M00837,M,301.7,311.1,1444,37.4,153,0,0,0,0,0,0
2768,L01377,L,301.8,312.9,1685,39.2,155,0,0,0,0,0,0
2769,M00838,M,300.1,308.8,1456,32.6,158,0,0,0,0,0,0
2770,M00839,M,298.8,307.6,1705,41.9,161,0,0,0,0,0,0
2771,L01378,L,301.6,313.5,1585,31.5,163,0,0,0,0,0,0
2772,L01379,L,299.9,309.9,1665,35.5,165,0,0,0,0,0,0
2773,H00555,H,298.3,307.7,1575,46.1,170,0,0,0,0,0,0
2774,L01380,L,298.2,309.5,1604,42.3,172,0,0,0,0,0,0
2775,M00840,M,297.0,308.3,1609,44.1,175,0,0,0,0,0,0
2776,L01381,L,299.0,309.9,1652,52.9,177,1,0,0,1,0,0
2777,L01382,L,302.2,311.6,1535,39.6,179,0,0,0,0,0,0
2778,L01383,L,300.4,310.1,1448,40.1,181,0,0,0,0,0,0
2779,L01384,L,298.9,309.3,1530,38.4,183,0,0,0,0,0,0
2780,L01385,L,301.6,312.3,1471,37.3,185,0,0,0,0,0,0
2781,L01386,L,298.3,307.8,1478,33.9,187,0,0,0,0,0,0
2782,H00556,H,300.2,310.4,1703,40.5,192,0,0,0,0,0,0
2783,H00557,H,299.6,309.9,1600,42.1,197,0,0,0,0,0,0
2784,M00841,M,301.6,312.8,1596,42.5,200,0,0,0,0,0,0
2785,H00558,H,296.8,307.6,1645,40.4,205,0,0,0,0,0,0
2786,L01387,L,298.3,306.8,1600,45.6,207,0,0,0,0,0,0
2787,H00559,H,296.7,306.5,1725,40.2,212,0,0,0,0,0,0
2788,L01388,L,299.5,308.6,1329,37.5,214,0,0,0,0,0,0
2789,H00560,H,302.4,313.0,1438,34.4,219,0,0,0,0,0,0
2790,H00561,H,299.0,309.9,1468,30.7,224,0,0,0,0,0,0
2791,M00842,M,299.0,309.1,1400,48.8,227,0,0,0,0,0,0
2792,H00562,H,301.7,311.5,1549,35.8,232,0,0,0,0,0,0
2793,M00843,M,302.1,312.2,1554,34.4,235,0,0,0,0,0,0
2794,L01389,L,299.8,310.0,1736,37.5,2,0,0,0,0,0,0
2795,L01390,L,301.4,310.7,1628,38.3,4,0,0,0,0,0,0
2796,M00844,M,297.8,306.6,1487,49.8,7,0,0,0,0,0,0
2797,L01391,L,302.8,310.7,1587,38.0,9,0,0,0,0,0,0
2798,M00845,M,304.3,315.6,1355,55.8,12,0,0,0,0,0,0
2799,H00563,H,301.0,311.5,1552,40.4,17,0,0,0,0,0,0
2800,L01392,L,295.8,306.2,1547,52.3,19,0,0,0,0,0,0
2801,M00846,M,298.9,310.1,1448,45.4,22,0,0,0,0,0,0
2802,H00564,H,301.2,310.0,1518,42.2,27,0,0,0,0,0,0
2803,H00565,H,299.2,307.4,1469,49.5,32,0,0,0,0,0,0
2804,H00566,H,302.5,312.9,1445,46.7,37,0,0,0,0,0,0
2805,M00847,M,301.2,311.5,1605,43.8,40,0,0,0,0,0,0
2806,H00567,H,298.6,306.9,1641,53.9,45,1,0,0,1,0,0
2807,M00848,M,300.1,310.4,1589,37.0,48,0,0,0,0,0,0
2808,L01393,L,298.2,307.8,1494,34.0,50,0,0,0,0,0,0
2809,L01394,L,299.6,308.8,1472,35.9,52,0,0,0,0,0,0
2810,M00849,M,298.9,308.6,1497,50.5,55,0,0,0,0,0,0
2811,L01395,L,302.3,309.9,1516,48.7,57,0,0,0,0,0,0
2812,M00850,M,304.2,313.6,1451,36.8,60,0,0,0,0,0,0
2813,M00851,M,297.1,306.4,1643,25.9,63,0,0,0,0,0,0
2814,L01396,L,296.2,306.7,1518,38.8,65,0,0,0,0,0,0
2815,M00852,M,299.5,309.4,1614,33.9,68,0,0,0,0,0,0
2816,M00853,M,297.0,307.6,1398,37.0,71,0,0,0,0,0,0
2817,L01397,L,300.1,307.5,1469,33.7,73,0,0,0,0,0,0
2818,L01398,L,301.5,310.7,1624,30.3,75,0,0,0,0,0,0
2819,L01399,L,303.0,313.5,1625,51.3,77,0,0,0,0,0,0
2820,L01400,L,300.4,310.1,1418,35.9,79,0,0,0,0,0,0
2821,H00568,H,299.6,310.5,1568,48.5,84,0,0,0,0,0,0
2822,L01401,L,296.0,304.2,1571,38.7,86,0,0,0,0,0,0
2823,M00854,M,300.1,310.8,1467,33.2,89,0,0,0,0,0,0
2824,L01402,L,300.1,309.5,1574,43.1,91,0,0,0,0,0,0
2825,L01403,L,301.3,310.5,1380,37.7,93,0,0,0,0,0,0
2826,H00569,H,298.6,309.6,1445,38.8,98,0,0,0,0,0,0
2827,M00855,M,299.1,310.3,1598,40.9,101,0,0,0,0,0,0
2828,L01404,L,297.0,308.1,1541,35.1,103,0,0,0,0,0,0
2829,L01405,L,295.4,307.5,1546,30.3,105,0,0,0,0,0,0
2830,L01406,L,297.8,309.0,1520,39.7,107,0,0,0,0,0,0
2831,L01407,L,296.9,306.1,1592,45.8,109,0,0,0,0,0,0
2832,M00856,M,300.7,310.8,1597,34.6,112,0,0,0,0,0,0
2833,L01408,L,299.0,308.6,1617,40.9,114,0,0,0,0,0,0
2834,L01409,L,298.9,311.0,1551,49.0,116,0,0,0,0,0,0
2835,L01410,L,298.0,309.1,1499,39.5,118,0,0,0,0,0,0
2836,H00570,H,293.5,303.3,1482,40.5,123,0,0,0,0,0,0
2837,H00571,H,303.0,313.9,1432,40.3,128,0,0,0,0,0,0
2838,L01411,L,298.0,306.8,1498,35.9,130,0,0,0,0,0,0
2839,M00857,M,299.2,309.4,1477,34.0,133,0,0,0,0,0,0
2840,L01412,L,297.1,306.2,1698,34.1,135,0,0,0,0,0,0
2841,L01413,L,301.9,310.3,1433,42.2,137,0,0,0,0,0,0
2842,M00858,M,300.3,311.1,1642,44.5,140,0,0,0,0,0,0
2843,H00572,H,298.3,309.3,1511,44.8,145,0,0,0,0,0,0
2844,H00573,H,299.2,309.7,1517,37.7,150,0,0,0,0,0,0
2845,M00859,M,303.4,313.2,1578,46.6,153,0,0,0,0,0,0
2846,L01414,L,299.9,308.6,1396,41.8,155,0,0,0,0,0,0
2847,M00860,M,299.6,308.5,1458,40.4,158,0,0,0,0,0,0
2848,L01415,L,298.1,307.1,1414,20.0,160,1,0,0,1,0,0
2849,M00861,M,296.2,306.0,1500,35.1,163,0,0,0,0,0,0
2850,L01416,L,299.7,310.8,1447,30.9,165,0,0,0,0,0,0
2851,M00862,M,300.7,311.7,1670,43.8,168,0,0,0,0,0,0
2852,L01417,L,302.2,310.6,1480,40.6,170,0,0,0,0,0,0
2853,L01418,L,295.5,304.8,1300,33.6,172,0,0,0,0,0,0
2854,H00574,H,297.7,307.0,1505,41.8,177,0,0,0,0,0,0
2855,L01419,L,298.8,306.3,1619,31.5,179,0,0,0,0,0,0
2856,M00863,M,300.0,310.6,1701,33.7,182,0,0,0,0,0,0
2857,L01420,L,299.7,309.5,1515,35.7,184,0,0,0,0,0,0
2858,L01421,L,299.8,309.6,1486,43.2,186,0,0,0,0,0,0
2859,L01422,L,300.8,312.2,1537,48.4,188,0,0,0,0,0,0
2860,L01423,L,298.2,308.3,1580,36.5,190,0,0,0,0,0,0
2861,H00575,H,301.9,311.4,1425,47.9,195,0,0,0,0,0,0
2862,L01424,L,300.9,311.4,1514,40.3,197,0,0,0,0,0,0
2863,H00576,H,299.4,310.4,1533,41.4,202,0,0,0,0,0,0
2864,M00864,M,303.2,313.5,1543,39.6,205,0,0,0,0,0,0
2865,L01425,L,303.1,313.8,1524,38.8,207,0,0,0,0,0,0
2866,M00865,M,301.9,311.7,1444,42.6,210,0,0,0,0,0,0
2867,M00866,M,294.0,303.9,1572,44.4,213,0,0,0,0,0,0
2868,M00867,M,303.2,313.3,1534,34.7,216,0,0,0,0,0,0
2869,L01426,L,301.6,310.8,1533,38.9,218,0,0,0,0,0,0
2870,L01427,L,304.0,313.4,1430,50.0,220,1,0,0,0,1,0
2871,H00577,H,302.5,313.9,1602,41.1,225,0,0,0,0,0,0
2872,H00578,H,303.2,315.2,1443,41.7,230,0,0,0,0,0,0
2873,H00579,H,301.8,313.3,1700,47.0,235,0,0,0,0,0,0
2874,L01428,L,302.7,311.4,1420,37.0,237,0,0,0,0,0,0
2875,M00868,M,304.0,312.6,1614,39.8,3,0,0,0,0,0,0
2876,L01429,L,300.4,309.2,1347,44.9,5,0,0,0,0,0,0
2877,L01430,L,296.9,307.0,1312,47.4,7,0,0,0,0,0,0
2878,L01431,L,299.4,306.6,1483,25.8,9,0,0,0,0,0,0
2879,M00869,M,300.8,310.2,1312,35.6,12,0,0,0,0,0,0
2880,L01432,L,300.1,311.6,1611,34.0,14,0,0,0,0,0,0
2881,L01433,L,297.5,308.5,1536,39.3,16,0,0,0,0,0,0
2882,H00580,H,296.7,306.2,1678,34.5,21,0,0,0,0,0,0
2883,L01434,L,298.5,308.1,1521,44.0,23,0,0,0,0,0,0
2884,L01435,L,301.6,312.2,1562,41.0,25,0,0,0,0,0,0
2885,L01436,L,303.2,314.1,1511,45.3,27,0,0,0,0,0,0
2886,H00581,H,301.8,311.3,1451,45.7,32,0,0,0,0,0,0
2887,M00870,M,302.1,311.9,1497,44.1,35,0,0,0,0,0,0
2888,L01437,L,299.8,309.3,1418,38.0,37,0,0,0,0,0,0
2889,H00582,H,296.5,305.2,1577,40.6,42,0,0,0,0,0,0
2890,H00583,H,299.1,308.9,1507,37.2,47,0,0,0,0,0,0
2891,L01438,L,299.5,309.2,1528,31.8,49,0,0,0,0,0,0
2892,M00871,M,299.0,307.7,1820,45.7,52,0,0,0,0,0,0
2893,M00872,M,300.1,310.8,1498,39.5,55,0,0,0,0,0,0
2894,M00873,M,300.9,311.4,1569,31.0,58,0,0,0,0,0,0
2895,L01439,L,301.7,312.4,1533,43.2,60,0,0,0,0,0,0
2896,H00584,H,299.4,308.7,1654,38.7,65,0,0,0,0,0,0
2897,M00874,M,296.2,304.2,1562,27.6,68,0,0,0,0,0,0
2898,L01440,L,299.0,309.5,1511,31.8,70,0,0,0,0,0,0
2899,L01441,L,300.1,309.4,1767,35.8,72,0,0,0,0,0,0
2900,L01442,L,302.4,311.6,1452,41.3,74,0,0,0,0,0,0
2901,L01443,L,298.9,307.6,1519,44.7,76,0,0,0,0,0,0
2902,M00875,M,301.0,310.7,1630,44.5,79,0,0,0,0,0,0
2903,L01444,L,300.6,312.2,1456,43.6,81,0,0,0,0,0,0
2904,L01445,L,300.1,309.6,1615,39.8,83,0,0,0,0,0,0
2905,M00876,M,301.9,310.8,1490,50.3,86,0,0,0,0,0,0
2906,L01446,L,298.7,309.3,1638,44.2,88,0,0,0,0,0,0
